Unique-id,namea,OffTask,Avgright,Avgbug,Avgtime,AvgtimeSDnormed,Avgtimelast5SDnormed,Avgnotright,Avghowmanywrong-up,Avgwrongpct-up,Avgtimeperact-up,AvgPrev5Count-up,Avg recent5wrong,Avgmanywrong-up
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-142,stuZ4lwb76,N,1,0,5.666666667,-0.44207311,0.929180923,0,1.333333333,0,5.31547619,0.666666667,1.666666667,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-143,stuZt7rs3h,N,0.5,0,5.75,-0.453403994,-1.638224219,0.5,6.5,0,8.779819256,0.75,0.25,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-147,stuZu26cso,N,1,0,32,0,0.867871785,0,0,0,38,0,3,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-148,stuZaqqbve,N,1,0,6.333333333,-0.351978248,-1.445771704,0,0,0,8.607142857,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-149,stuZc8lpaw,Y,1,0,15,0.263107147,7.595683143,0,2,0,40.3,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-15,stuZu26cso,N,0.5,0,9.5,-0.030787186,0.028130684,0.5,0.5,1,7.125,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-151,stuZr7514u,N,1,0,10,0.07047619,0.762163094,0,0,0,10.78333333,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-154,stuZ5qilc2,N,1,0,11,0,-1.758734406,0,0,0,11.33333333,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-16,stuZaqqbve,Y,1,0,4,-0.295404814,16.09557539,0,0,0,4,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-17,stuZc8lpaw,N,0,0,8.5,-0.206878446,-2.996324495,1,12.5,5.5,6.807017544,5,2.5,0.5
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-19,stuZr7514u,N,0,0,14,0.058849755,-0.430242813,1,1,1,11.9,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-2,stuZgy46jl,N,0.666666667,0,7.333333333,-0.411149123,-2.454613513,0.333333333,9.333333333,0,12.57570806,3.333333333,0.333333333,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-21,stuZ4lil98,N,1,0,9,-0.410962283,-1.450700099,0,0.333333333,0,9,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-22,stuZ5qilc2,N,1,0,5.714285714,-0.468575912,-1.902759001,0,3.142857143,0,11.02996778,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-23,stuZm4l2iq,N,1,0,13,0.105218754,-2.13430931,0,0,0,18.5,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-26,stuZ6n5zl1,N,1,0,21,0,6.69818959,0,0,0,22.33333333,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-27,stuZet5bzv,N,0,0,7.333333333,-0.247395292,0.686304034,1,3.333333333,10.33333333,7.851715686,0.333333333,3.333333333,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-28,stuZgkj7bs,N,0.857142857,0.142857143,3.857142857,-0.496563973,-2.466713143,0.142857143,0.714285714,0.142857143,2.706717687,0.142857143,0.857142857,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-29,stuZbsj5kw,N,1,0,6,-0.045713884,-2.130432248,0,0.25,0,3.436813187,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-3,stuZxoxmpe,N,0.5,0,6,-0.20970696,-0.774318274,0.5,1.5,3,5.818681319,1,2,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-30,stuZkagkh6,N,1,0,6.666666667,-0.218506932,-2.128288427,0,0,0,6.396031746,1,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-31,stuZxdul63,N,1,0,4.25,-0.601341147,-2.926390181,0,0.5,0,5.690972222,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-32,stuZ4lwb76,N,0,0,3,-0.747929711,0.08847384,1,10,0,9.653333333,2,3,0.333333333
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-34,stuZjsrh2j,N,1,0,5.5,-0.27174718,-1.827503164,0,0,0,8.166666667,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-35,stuZ77be0l,N,0.5,0,5.5,-0.231052236,-1.13933345,0.5,1,1.5,6.372727273,0,0.5,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-36,stuZ5lp7k7,N,0.666666667,0,38.33333333,2.594867469,-2.166978646,0.333333333,0.666666667,1,22.20833333,0.333333333,1.333333333,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-37,stuZu26cso,N,0.666666667,0,12.33333333,0.004383092,0.65755486,0.333333333,2,1,18.40808081,1,1.666666667,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-38,stuZaqqbve,N,1,0,5,-0.236363636,-0.526621748,0,0,0,5,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-39,stuZc8lpaw,N,0,0,25,1.089678511,0.019194976,1,3,0,18.625,2,3,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-4,stuZ6n5zl1,N,1,0,9.5,-0.205293816,-1.248916337,0,0,0,7.551282051,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-41,stuZr7514u,N,1,0,49,0.101928375,14.07871222,0,0,0,31.83333333,0,1,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-43,stuZ4lil98,N,0.5,0,13.5,-0.293637847,1.294046051,0.5,0.5,1,21.46428571,0,2,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-44,stuZ5qilc2,N,0.75,0,7,0.029684787,-1.815231994,0.25,1.5,1.75,6.806998557,0,0,0
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-45,stuZm4l2iq,N,0,0,5,-0.455390746,2.520756994,1,5.5,3.5,10.41964286,4,3,1
awagner-closeloop-ins_h1zaz4-03.31.2011_at_13:42:00-46,stuZgy46jl,N,0.5,0,7.5,-0.247866306,-1.637211125,0.5,0.5,1,6.933333333,0,1.5,0
